country,day,currentInfected,currentImmune,numOfPeopleInside
area0,0,2,0,125
area1,0,2,0,125
area2,0,2,0,125
area3,0,2,0,125
area0,1,2,0,140
area1,1,2,0,111
area2,1,3,0,145
area3,1,1,0,154
area0,2,4,0,158
area1,2,2,0,117
area2,2,0,0,131
area3,2,0,0,142
area0,3,4,0,152
area1,3,0,0,131
area2,3,0,0,125
area3,3,3,0,149
area0,4,1,0,132
area1,4,1,0,126
area2,4,1,0,111
area3,4,3,0,154
area0,5,5,0,161
area1,5,1,0,130
area2,5,2,0,118
area3,5,2,0,160
area0,6,5,0,168
area1,6,3,0,122
area2,6,1,0,132
area3,6,7,0,144
area0,7,5,0,142
area1,7,3,0,103
area2,7,2,0,132
area3,7,2,0,162
area0,8,9,0,152
area1,8,3,0,101
area2,8,6,0,112
area3,8,7,0,149
area0,9,5,0,143
area1,9,6,0,126
area2,9,4,0,140
area3,9,8,0,159
area0,10,8,3,162
area1,10,3,0,119
area2,10,6,1,111
area3,10,9,3,173
area0,11,13,2,164
area1,11,9,2,118
area2,11,5,0,132
area3,11,7,1,167
area0,12,12,2,167
area1,12,8,3,133
area2,12,6,0,116
area3,12,12,1,158
area0,13,17,3,145
area1,13,11,2,137
area2,13,6,1,132
area3,13,15,3,138
area0,14,21,2,160
area1,14,8,1,100
area2,14,16,3,144
area3,14,13,1,155
area0,15,23,2,157
area1,15,18,2,134
area2,15,17,0,110
area3,15,20,5,161
area0,16,34,3,165
area1,16,26,3,116
area2,16,20,2,118
area3,16,24,5,142
area0,17,42,4,167
area1,17,26,3,131
area2,17,21,2,118
area3,17,27,7,174
area0,18,51,7,160
area1,18,38,3,111
area2,18,22,5,123
area3,18,43,1,164
area0,19,54,9,159
area1,19,31,4,111
area2,19,36,6,125
area3,19,38,6,153
area0,20,53,9,157
area1,20,46,7,127
area2,20,25,6,91
area3,20,72,6,186
area0,21,64,19,172
area1,21,46,9,117
area2,21,62,7,132
area3,21,59,11,152
area0,22,68,13,150
area1,22,50,11,116
area2,22,58,7,119
area3,22,73,17,166
area0,23,86,19,168
area1,23,55,16,120
area2,23,53,13,103
area3,23,81,23,165
area0,24,95,18,166
area1,24,70,17,121
area2,24,54,11,107
area3,24,94,30,170
area0,25,86,27,144
area1,25,72,19,120
area2,25,77,24,128
area3,25,87,27,156
area0,26,98,28,153
area1,26,79,20,139
area2,26,83,20,125
area3,26,85,24,132
area0,27,101,35,176
area1,27,66,31,115
area2,27,73,25,120
area3,27,83,37,139
area0,28,73,45,135
area1,28,61,41,122
area2,28,62,23,101
area3,28,110,51,184
area0,29,87,58,163
area1,29,60,43,119
area2,29,69,37,114
area3,29,83,50,150
area0,30,70,52,133
area1,30,64,52,128
area2,30,63,52,125
area3,30,73,53,140
area0,31,67,80,150
area1,31,53,69,132
area2,31,53,54,119
area3,31,62,65,137
area0,32,64,95,169
area1,32,58,54,122
area2,32,45,61,116
area3,32,66,79,153
area0,33,47,90,143
area1,33,32,95,132
area2,33,47,88,144
area3,33,43,89,140
area0,34,46,94,155
area1,34,28,78,110
area2,34,28,80,115
area3,34,41,110,158
area0,35,44,98,150
area1,35,19,93,117
area2,35,26,95,126
area3,35,38,104,150
area0,36,25,109,140
area1,36,19,98,127
area2,36,23,106,138
area3,36,24,136,165
area0,37,13,140,159
area1,37,22,95,123
area2,37,21,99,124
area3,37,12,119,141
area0,38,11,146,162
area1,38,8,97,110
area2,38,15,104,126
area3,38,7,136,147
area0,39,9,129,142
area1,39,9,116,129
area2,39,7,104,116
area3,39,9,146,160
area0,40,5,134,147
area1,40,8,131,143
area2,40,6,114,127
area3,40,9,146,161
area0,41,9,141,156
area1,41,7,128,144
area2,41,4,118,124
area3,41,7,132,145
area0,42,6,142,153
area1,42,2,106,112
area2,42,1,121,129
area3,42,3,124,131
area0,43,2,150,157
area1,43,4,120,130
area2,43,2,94,98
area3,43,2,171,182
area0,44,1,130,136
area1,44,2,127,136
area2,44,1,98,102
area3,44,1,147,154
area0,45,0,155,160
area1,45,0,108,119
area2,45,2,99,105
area3,45,0,143,147
area0,46,1,152,160
area1,46,0,125,130
area2,46,0,115,119
area3,46,1,118,121
area0,47,1,123,128
area1,47,0,126,131
area2,47,0,115,121
area3,47,0,133,139
area0,48,1,154,160
area1,48,0,116,120
area2,48,0,104,107
area3,48,1,154,162
area0,49,0,160,168
area1,49,1,122,125
area2,49,0,131,135
area3,49,0,149,156
area0,50,0,138,146
area1,50,0,124,130
area2,50,0,114,125
area3,50,0,129,134
area0,51,0,153,155
area1,51,0,112,115
area2,51,0,111,113
area3,51,0,164,170
area0,52,0,158,167
area1,52,0,104,105
area2,52,0,122,127
area3,52,0,169,174
area0,53,0,148,156
area1,53,0,105,109
area2,53,0,127,129
area3,53,0,154,163
area0,54,0,135,141
area1,54,0,89,95
area2,54,0,128,134
area3,54,0,142,148
area0,55,0,132,138
area1,55,0,113,117
area2,55,0,125,131
area3,55,0,148,155
area0,56,0,144,148
area1,56,0,106,115
area2,56,0,113,116
area3,56,0,144,149
area0,57,0,170,180
area1,57,0,111,113
area2,57,0,108,114
area3,57,0,159,161
area0,58,0,136,142
area1,58,0,131,136
area2,58,0,125,134
area3,58,0,163,171
area0,59,0,156,162
area1,59,0,111,115
area2,59,0,119,124
area3,59,0,166,169
area0,60,0,119,124
area1,60,0,102,106
area2,60,0,124,128
area3,60,0,149,158
area0,61,0,133,139
area1,61,0,112,117
area2,61,0,126,130
area3,61,0,151,159
area0,62,0,150,155
area1,62,0,116,118
area2,62,0,130,135
area3,62,0,148,154
area0,63,0,125,129
area1,63,0,131,135
area2,63,0,98,105
area3,63,0,143,147
area0,64,0,153,161
area1,64,0,115,120
area2,64,0,101,105
area3,64,0,157,161
area0,65,0,160,169
area1,65,0,113,117
area2,65,0,122,125
area3,65,0,156,162
area0,66,0,147,151
area1,66,0,104,106
area2,66,0,119,122
area3,66,0,142,149
area0,67,0,145,153
area1,67,0,134,137
area2,67,0,130,135
area3,67,0,130,136
area0,68,0,137,143
area1,68,0,148,155
area2,68,0,122,130
area3,68,0,139,149
area0,69,0,157,161
area1,69,0,105,106
area2,69,0,119,125
area3,69,0,155,159
area0,70,0,152,162
