country,day,currentInfected,currentImmune,numOfPeopleInside
area1,70,0,106,109
area2,70,0,118,121
area3,70,0,154,161
area0,71,0,146,152
area1,71,0,111,113
area2,71,0,123,126
area3,71,0,135,141
area0,72,0,127,136
area1,72,0,119,123
area2,72,0,135,140
area3,72,0,139,142
area0,73,0,170,175
area1,73,0,132,138
area2,73,0,113,120
area3,73,0,153,160
area0,74,0,158,162
area1,74,0,109,113
area2,74,0,106,112
area3,74,0,155,162
area0,75,0,153,159
area1,75,0,110,117
area2,75,0,141,147
area3,75,0,140,143
area0,76,0,142,147
area1,76,0,123,129
area2,76,0,121,129
area3,76,0,169,173
area0,77,0,141,146
area1,77,0,106,109
area2,77,0,124,129
area3,77,0,153,165
area0,78,0,155,160
area1,78,0,106,109
area2,78,0,102,105
area3,78,0,130,137
area0,79,0,167,173
area1,79,0,107,115
area2,79,0,108,112
area3,79,0,131,134
area0,80,0,159,168
area1,80,0,123,128
area2,80,0,101,107
area3,80,0,130,131
area0,81,0,161,167
area1,81,0,112,115
area2,81,0,125,135
area3,81,0,141,148
area0,82,0,156,161
area1,82,0,114,121
area2,82,0,99,105
area3,82,0,151,155
area0,83,0,139,145
area1,83,0,123,131
area2,83,0,114,119
area3,83,0,134,142
area0,84,0,163,168
area1,84,0,115,120
area2,84,0,135,144
area3,84,0,151,160
area0,85,0,166,171
area1,85,0,106,110
area2,85,0,123,129
area3,85,0,141,149
area0,86,0,157,162
area1,86,0,102,105
area2,86,0,114,115
area3,86,0,144,148
area0,87,0,154,161
area1,87,0,118,124
area2,87,0,125,129
area3,87,0,136,138
area0,88,0,149,161
area1,88,0,115,119
area2,88,0,142,149
area3,88,0,149,154
area0,89,0,158,161
area1,89,0,113,118
area2,89,0,118,125
area3,89,0,159,164
