country,day,currentInfected,currentImmune,numOfPeopleInside
area8,0,1,0,125
area9,0,1,0,125
area10,0,1,0,125
area11,0,1,0,125
area8,1,3,0,106
area9,1,1,0,99
area10,1,0,0,108
area11,1,0,0,129
area8,2,2,0,144
area9,2,1,0,111
area10,2,3,0,94
area11,2,4,0,123
area8,3,1,0,120
area9,3,1,0,106
area10,3,3,0,102
area11,3,0,0,129
area8,4,4,0,112
area9,4,1,0,108
area10,4,1,0,106
area11,4,0,0,110
area8,5,2,0,117
area9,5,5,0,103
area10,5,0,0,90
area11,5,2,0,125
area8,6,2,0,109
area9,6,2,0,93
area10,6,1,0,94
area11,6,5,0,97
area8,7,0,0,123
area9,7,3,0,89
area10,7,3,0,89
area11,7,5,0,142
area8,8,3,0,127
area9,8,3,0,97
area10,8,3,0,106
area11,8,6,0,145
area8,9,5,0,117
area9,9,4,0,100
area10,9,5,0,108
area11,9,11,0,131
area8,10,10,0,122
area9,10,3,0,119
area10,10,10,2,102
area11,10,6,2,131
area8,11,5,1,106
area9,11,2,0,89
area10,11,10,1,109
area11,11,8,1,119
area8,12,8,0,124
area9,12,11,5,109
area10,12,9,0,104
area11,12,9,2,127
area8,13,7,0,103
area9,13,12,1,112
area10,13,13,4,121
area11,13,16,0,116
area8,14,12,3,130
area9,14,7,4,98
area10,14,7,4,103
area11,14,16,4,110
area8,15,16,2,120
area9,15,15,4,94
area10,15,14,2,115
area11,15,17,2,112
area8,16,20,1,113
area9,16,8,2,92
area10,16,17,6,109
area11,16,26,3,132
area8,17,31,3,140
area9,17,22,2,105
area10,17,15,3,82
area11,17,37,7,131
area8,18,21,3,104
area9,18,24,3,100
area10,18,23,6,108
area11,18,24,7,112
area8,19,30,5,115
area9,19,35,5,107
area10,19,29,3,96
area11,19,38,7,114
area8,20,32,6,105
area9,20,39,4,107
area10,20,38,8,105
area11,20,46,6,139
area8,21,57,11,121
area9,21,36,5,107
area10,21,34,4,88
area11,21,49,7,124
area8,22,60,16,122
area9,22,56,8,112
area10,22,56,6,104
area11,22,65,11,137
area8,23,64,15,124
area9,23,57,3,87
area10,23,50,18,102
area11,23,55,15,122
area8,24,48,21,116
area9,24,76,12,116
area10,24,62,18,108
area11,24,66,17,125
area8,25,69,26,130
area9,25,67,8,102
area10,25,63,25,122
area11,25,68,19,110
area8,26,62,22,104
area9,26,75,16,110
area10,26,55,22,97
area11,26,71,23,124
area8,27,62,22,107
area9,27,68,24,109
area10,27,65,24,110
area11,27,71,27,122
area8,28,63,49,130
area9,28,54,29,101
area10,28,72,38,122
area11,28,73,36,120
area8,29,62,39,117
area9,29,58,36,107
area10,29,71,33,116
area11,29,63,44,118
area8,30,60,47,126
area9,30,49,44,100
area10,30,47,40,93
area11,30,67,44,122
area8,31,57,46,117
area9,31,49,54,113
area10,31,38,37,86
area11,31,53,53,113
area8,32,47,70,128
area9,32,33,65,107
area10,32,37,63,101
area11,32,47,63,116
area8,33,45,61,111
area9,33,35,45,90
area10,33,26,76,108
area11,33,38,83,132
area8,34,31,92,126
area9,34,21,81,108
area10,34,32,56,94
area11,34,32,81,114
area8,35,22,86,114
area9,35,24,91,117
area10,35,14,76,96
area11,35,25,86,113
area8,36,21,95,122
area9,36,16,82,100
area10,36,16,79,99
area11,36,26,93,125
area8,37,13,119,138
area9,37,16,85,105
area10,37,14,82,100
area11,37,14,95,114
area8,38,12,98,119
area9,38,6,92,101
area10,38,16,100,120
area11,38,13,116,137
area8,39,13,106,125
area9,39,6,88,96
area10,39,6,86,94
area11,39,6,104,114
area8,40,4,120,129
area9,40,8,98,110
area10,40,3,89,94
area11,40,8,99,114
area8,41,1,129,138
area9,41,3,81,88
area10,41,9,94,106
area11,41,5,109,119
area8,42,2,115,123
area9,42,3,99,105
area10,42,0,100,105
area11,42,2,118,127
area8,43,0,113,121
area9,43,1,86,93
area10,43,0,90,94
area11,43,2,110,117
area8,44,2,139,146
area9,44,1,95,97
area10,44,0,98,100
area11,44,1,121,127
area8,45,2,104,111
area9,45,0,106,115
area10,45,2,99,104
area11,45,0,112,113
area8,46,2,121,130
area9,46,0,99,104
area10,46,0,82,85
area11,46,1,99,108
area8,47,1,127,134
area9,47,1,85,89
area10,47,1,97,102
area11,47,0,130,133
area8,48,0,109,116
area9,48,1,93,99
area10,48,0,101,106
area11,48,0,116,123
area8,49,0,107,110
area9,49,0,82,91
area10,49,0,92,94
area11,49,0,128,133
area8,50,0,131,136
area9,50,0,107,111
area10,50,0,124,126
area11,50,0,126,131
area8,51,0,116,122
area9,51,0,99,102
area10,51,1,98,101
area11,51,0,114,120
area8,52,0,100,104
area9,52,0,115,117
area10,52,0,94,98
area11,52,0,92,99
area8,53,0,108,112
area9,53,0,90,94
area10,53,0,89,95
area11,53,0,128,131
area8,54,0,121,126
area9,54,0,98,101
area10,54,0,97,99
area11,54,0,122,126
area8,55,0,140,147
area9,55,0,91,99
area10,55,0,94,98
area11,55,0,100,102
area8,56,0,130,135
area9,56,0,88,93
area10,56,0,109,115
area11,56,0,119,125
area8,57,0,113,117
area9,57,0,102,108
area10,57,0,87,89
area11,57,0,121,124
area8,58,0,121,125
area9,58,0,94,96
area10,58,0,78,84
area11,58,0,113,117
area8,59,0,119,125
area9,59,0,91,93
area10,59,0,92,95
area11,59,0,114,119
area8,60,0,121,127
area9,60,0,102,106
area10,60,0,98,102
area11,60,0,137,142
area8,61,0,114,119
area9,61,0,97,101
area10,61,0,98,101
area11,61,0,96,100
area8,62,0,125,128
area9,62,0,91,96
area10,62,0,83,86
area11,62,0,110,118
area8,63,0,127,135
area9,63,0,103,104
area10,63,0,81,83
area11,63,0,116,121
area8,64,0,115,118
area9,64,0,129,134
area10,64,0,95,100
area11,64,0,105,110
area8,65,0,110,117
area9,65,0,107,108
area10,65,0,103,105
area11,65,0,109,114
area8,66,0,106,111
area9,66,0,109,115
area10,66,0,110,113
area11,66,0,135,138
area8,67,0,109,113
area9,67,0,98,104
area10,67,0,110,116
area11,67,0,110,116
area8,68,0,129,134
area9,68,0,99,103
area10,68,0,81,82
