country,day,currentInfected,currentImmune,numOfPeopleInside
area11,68,0,113,118
area8,69,0,123,127
area9,69,0,104,112
area10,69,0,81,83
area11,69,0,109,116
area8,70,0,105,108
area9,70,0,106,109
area10,70,0,96,99
area11,70,0,124,128
area8,71,0,104,113
area9,71,0,110,117
area10,71,0,110,112
area11,71,0,122,128
area8,72,0,119,122
area9,72,0,93,95
area10,72,0,115,122
area11,72,0,116,120
area8,73,0,101,107
area9,73,0,80,88
area10,73,0,96,97
area11,73,0,131,138
area8,74,0,136,141
area9,74,0,98,103
area10,74,0,86,91
area11,74,0,112,118
area8,75,0,119,124
area9,75,0,93,98
area10,75,0,97,101
area11,75,0,118,122
area8,76,0,114,116
area9,76,0,79,81
area10,76,0,92,99
area11,76,0,94,100
area8,77,0,121,124
area9,77,0,117,121
area10,77,0,88,93
area11,77,0,103,106
area8,78,0,126,131
area9,78,0,107,111
area10,78,0,98,103
area11,78,0,101,107
area8,79,0,115,120
area9,79,0,115,115
area10,79,0,101,106
area11,79,0,88,92
area8,80,0,120,123
area9,80,0,103,108
area10,80,0,97,99
area11,80,0,110,117
area8,81,0,101,105
area9,81,0,93,99
area10,81,0,90,92
area11,81,0,120,123
area8,82,0,109,114
area9,82,0,106,109
area10,82,0,100,106
area11,82,0,113,119
area8,83,0,104,107
area9,83,0,104,106
area10,83,0,108,110
area11,83,0,116,125
area8,84,0,91,97
area9,84,0,110,111
area10,84,0,102,105
area11,84,0,100,105
area8,85,0,129,131
area9,85,0,105,108
area10,85,0,90,91
area11,85,0,96,98
area8,86,0,105,113
area9,86,0,114,117
area10,86,0,100,103
area11,86,0,125,128
area8,87,0,116,120
area9,87,0,89,93
area10,87,0,99,104
area11,87,0,112,115
area8,88,0,126,132
area9,88,0,114,117
area10,88,0,91,97
area11,88,0,124,127
area8,89,0,143,150
area9,89,0,86,91
area10,89,0,75,81
area11,89,0,120,127
