country,day,currentInfected,currentImmune,numOfPeopleInside
area7,29,56,43,116
area4,30,66,58,131
area5,30,41,45,94
area6,30,48,47,107
area7,30,49,57,117
area4,31,50,63,119
area5,31,43,46,94
area6,31,57,46,113
area7,31,65,59,133
area4,32,58,57,117
area5,32,48,54,105
area6,32,42,70,121
area7,32,47,63,119
area4,33,47,79,135
area5,33,31,59,95
area6,33,25,59,89
area7,33,32,71,108
area4,34,34,89,128
area5,34,32,74,110
area6,34,32,75,113
area7,34,33,69,108
area4,35,26,93,123
area5,35,20,80,104
area6,35,12,81,97
area7,35,25,74,104
area4,36,8,100,115
area5,36,19,79,102
area6,36,17,83,107
area7,36,21,100,123
area4,37,17,99,118
area5,37,12,84,99
area6,37,11,85,99
area7,37,16,106,126
area4,38,9,96,111
area5,38,8,86,103
area6,38,14,95,113
area7,38,13,103,123
area4,39,6,122,136
area5,39,6,81,92
area6,39,9,95,104
area7,39,11,121,135
area4,40,5,120,129
area5,40,5,92,102
area6,40,5,87,92
area7,40,11,91,106
area4,41,3,112,118
area5,41,1,81,85
area6,41,2,98,105
area7,41,3,118,125
area4,42,3,103,112
area5,42,3,106,112
area6,42,4,104,111
area7,42,3,110,119
area4,43,3,114,120
area5,43,1,95,98
area6,43,2,113,118
area7,43,1,117,122
area4,44,1,131,136
area5,44,1,89,93
area6,44,1,97,103
area7,44,3,126,137
area4,45,0,116,120
area5,45,2,105,113
area6,45,1,100,107
area7,45,2,120,124
area4,46,0,124,131
area5,46,0,102,106
area6,46,1,104,106
area7,46,0,113,119
area4,47,2,112,117
area5,47,0,107,114
area6,47,0,110,113
area7,47,0,99,104
area4,48,0,121,126
area5,48,0,106,112
area6,48,0,97,100
area7,48,0,123,131
area4,49,0,112,115
area5,49,0,92,97
area6,49,0,87,92
area7,49,0,109,112
area4,50,0,121,125
area5,50,0,85,89
area6,50,0,79,82
area7,50,1,126,134
area4,51,0,125,128
area5,51,0,90,95
area6,51,0,92,97
area7,51,0,103,110
area4,52,0,118,120
area5,52,0,95,96
area6,52,0,93,97
area7,52,1,125,133
area4,53,0,121,123
area5,53,0,94,95
area6,53,0,82,88
area7,53,0,129,137
area4,54,0,134,142
area5,54,0,112,118
area6,54,0,95,97
area7,54,0,133,141
area4,55,0,110,114
area5,55,0,116,116
area6,55,0,110,112
area7,55,0,128,133
area4,56,0,122,126
area5,56,0,103,104
area6,56,0,94,95
area7,56,0,109,115
area4,57,0,117,121
area5,57,0,109,115
area6,57,0,94,96
area7,57,0,137,142
area4,58,0,109,112
area5,58,0,95,100
area6,58,0,109,112
area7,58,0,104,107
area4,59,0,101,111
area5,59,0,100,107
area6,59,0,115,119
area7,59,0,111,114
area4,60,0,123,126
area5,60,0,99,104
area6,60,0,95,98
area7,60,0,117,122
area4,61,0,114,117
area5,61,0,106,109
area6,61,0,97,100
area7,61,0,126,133
area4,62,0,110,113
area5,62,0,96,97
area6,62,0,108,112
area7,62,0,118,122
area4,63,0,109,113
area5,63,0,112,120
area6,63,0,102,109
area7,63,0,115,117
area4,64,0,107,110
area5,64,0,91,96
area6,64,0,80,85
area7,64,0,111,116
area4,65,0,114,119
area5,65,0,87,92
area6,65,0,110,112
area7,65,0,124,129
area4,66,0,126,131
area5,66,0,97,104
area6,66,0,108,114
area7,66,0,102,109
area4,67,0,97,99
area5,67,0,94,96
area6,67,0,91,96
area7,67,0,115,122
area4,68,0,111,115
area5,68,0,102,107
area6,68,0,82,88
area7,68,0,113,119
area4,69,0,129,136
area5,69,0,102,108
area6,69,0,88,91
area7,69,0,112,115
area4,70,0,134,141
area5,70,0,98,100
area6,70,0,111,115
area7,70,0,113,119
area4,71,0,111,119
area5,71,0,96,103
area6,71,0,81,85
area7,71,0,122,125
area4,72,0,120,123
area5,72,0,98,106
area6,72,0,102,106
area7,72,0,103,108
area4,73,0,104,113
area5,73,0,83,85
area6,73,0,99,104
area7,73,0,132,133
area4,74,0,127,130
area5,74,0,101,106
area6,74,0,114,118
area7,74,0,91,93
area4,75,0,121,131
area5,75,0,85,89
area6,75,0,96,99
area7,75,0,120,125
area4,76,0,122,125
area5,76,0,104,105
area6,76,0,110,116
area7,76,0,105,110
area4,77,0,121,129
area5,77,0,85,87
area6,77,0,107,109
area7,77,0,112,117
area4,78,0,112,114
area5,78,0,83,89
area6,78,0,100,107
area7,78,0,134,138
area4,79,0,123,126
area5,79,0,99,102
area6,79,0,108,112
area7,79,0,130,141
area4,80,0,127,129
area5,80,0,98,104
area6,80,0,101,104
area7,80,0,139,147
area4,81,0,106,109
area5,81,0,107,113
area6,81,0,91,96
area7,81,0,124,127
area4,82,0,121,126
area5,82,0,111,115
area6,82,0,90,91
area7,82,0,111,117
area4,83,0,126,128
area5,83,0,108,110
area6,83,0,85,89
area7,83,0,119,122
area4,84,0,111,117
area5,84,0,86,91
area6,84,0,99,101
area7,84,0,132,138
area4,85,0,111,116
area5,85,0,98,102
area6,85,0,92,101
area7,85,0,104,107
area4,86,0,124,134
area5,86,0,100,105
area6,86,0,87,91
area7,86,0,111,121
area4,87,0,117,119
area5,87,0,110,115
area6,87,0,96,101
area7,87,0,132,134
area4,88,0,96,104
area5,88,0,79,81
area6,88,0,80,83
area7,88,0,113,118
area4,89,0,108,110
area5,89,0,99,104
area6,89,0,97,102
area7,89,0,130,137
