country,day,currentInfected,currentImmune,numOfPeopleInside
area4,0,1,0,125
area5,0,1,0,125
area6,0,1,0,125
area7,0,1,0,125
area4,1,0,0,134
area5,1,1,0,101
area6,1,0,0,97
area7,1,2,0,129
area4,2,0,0,124
area5,2,0,0,96
area6,2,3,0,97
area7,2,1,0,128
area4,3,1,0,119
area5,3,2,0,114
area6,3,1,0,113
area7,3,4,0,121
area4,4,1,0,140
area5,4,0,0,98
area6,4,1,0,114
area7,4,4,0,116
area4,5,1,0,119
area5,5,3,0,97
area6,5,2,0,98
area7,5,2,0,137
area4,6,4,0,125
area5,6,4,0,117
area6,6,1,0,107
area7,6,1,0,127
area4,7,6,0,128
area5,7,8,0,110
area6,7,3,0,75
area7,7,7,0,127
area4,8,4,0,126
area5,8,4,0,92
area6,8,1,0,109
area7,8,6,0,137
area4,9,4,0,125
area5,9,4,0,104
area6,9,9,0,98
area7,9,3,0,112
area4,10,6,1,116
area5,10,7,1,105
area6,10,4,1,93
area7,10,8,0,116
area4,11,5,3,110
area5,11,5,0,104
area6,11,4,2,100
area7,11,6,2,141
area4,12,8,2,107
area5,12,4,1,105
area6,12,10,2,117
area7,12,11,0,99
area4,13,16,3,118
area5,13,14,0,106
area6,13,9,1,97
area7,13,9,3,121
area4,14,20,4,115
area5,14,16,0,97
area6,14,10,3,104
area7,14,11,0,116
area4,15,20,1,127
area5,15,21,1,111
area6,15,11,2,95
area7,15,16,7,122
area4,16,17,2,110
area5,16,14,3,99
area6,16,12,1,104
area7,16,16,3,115
area4,17,20,6,89
area5,17,21,1,98
area6,17,13,4,106
area7,17,17,1,112
area4,18,32,3,119
area5,18,27,5,112
area6,18,29,1,101
area7,18,37,4,113
area4,19,41,6,138
area5,19,30,7,90
area6,19,36,5,118
area7,19,36,8,114
area4,20,43,6,104
area5,20,36,13,108
area6,20,42,4,109
area7,20,39,9,115
area4,21,34,14,108
area5,21,33,4,87
area6,21,50,6,110
area7,21,44,10,114
area4,22,50,16,127
area5,22,33,2,85
area6,22,38,6,96
area7,22,60,14,130
area4,23,71,15,135
area5,23,50,7,101
area6,23,44,9,98
area7,23,62,11,125
area4,24,56,11,101
area5,24,59,15,106
area6,24,54,13,94
area7,24,71,19,123
area4,25,65,22,125
area5,25,58,10,97
area6,25,65,9,99
area7,25,60,14,104
area4,26,68,25,118
area5,26,57,20,100
area6,26,61,20,103
area7,26,75,35,135
area4,27,81,30,133
area5,27,62,27,94
area6,27,70,23,115
area7,27,51,38,110
area4,28,73,33,119
area5,28,72,31,115
area6,28,64,24,102
area7,28,73,29,114
area4,29,71,46,131
area5,29,51,37,94
area6,29,64,32,110
