country,day,currentInfected,currentImmune,numOfPeopleInside
area12,63,0,147,157
area13,63,0,115,119
area14,63,0,127,131
area15,63,0,168,175
area12,64,0,165,174
area13,64,0,126,133
area14,64,0,117,122
area15,64,0,152,155
area12,65,0,128,133
area13,65,0,114,118
area14,65,0,109,114
area15,65,0,153,166
area12,66,0,145,153
area13,66,0,121,126
area14,66,0,105,110
area15,66,0,143,148
area12,67,0,135,141
area13,67,0,131,133
area14,67,0,131,138
area15,67,0,159,165
area12,68,0,168,169
area13,68,0,113,116
area14,68,0,104,111
area15,68,0,158,161
area12,69,0,162,167
area13,69,0,114,120
area14,69,0,118,128
area15,69,0,141,146
area12,70,0,136,141
area13,70,0,123,132
area14,70,0,106,109
area15,70,0,137,146
area12,71,0,152,155
area13,71,0,117,122
area14,71,0,135,142
area15,71,0,144,147
area12,72,0,149,155
area13,72,0,109,114
area14,72,0,110,113
area15,72,0,165,175
area12,73,0,178,183
area13,73,0,105,112
area14,73,0,126,129
area15,73,0,116,118
area12,74,0,151,161
area13,74,0,123,127
area14,74,0,111,117
area15,74,0,141,146
area12,75,0,144,148
area13,75,0,110,117
area14,75,0,122,126
area15,75,0,150,154
area12,76,0,161,167
area13,76,0,105,110
area14,76,0,123,129
area15,76,0,155,164
area12,77,0,168,178
area13,77,0,110,117
area14,77,0,109,114
area15,77,0,154,156
area12,78,0,164,165
area13,78,0,138,145
area14,78,0,121,125
area15,78,0,142,154
area12,79,0,143,148
area13,79,0,116,121
area14,79,0,125,133
area15,79,0,143,150
area12,80,0,156,164
area13,80,0,116,122
area14,80,0,91,96
area15,80,0,148,153
area12,81,0,143,147
area13,81,0,111,118
area14,81,0,134,139
area15,81,0,160,167
area12,82,0,169,175
area13,82,0,125,132
area14,82,0,110,114
area15,82,0,134,140
area12,83,0,165,170
area13,83,0,104,112
area14,83,0,121,128
area15,83,0,149,156
area12,84,0,154,159
area13,84,0,104,109
area14,84,0,119,122
area15,84,0,147,153
area12,85,0,152,161
area13,85,0,137,144
area14,85,0,117,126
area15,85,0,152,156
area12,86,0,158,164
area13,86,0,124,132
area14,86,0,111,114
area15,86,0,143,148
area12,87,0,145,155
area13,87,0,101,109
area14,87,0,125,132
area15,87,0,144,151
area12,88,0,152,158
area13,88,0,122,124
area14,88,0,119,124
area15,88,0,148,152
area12,89,0,147,150
area13,89,0,116,118
area14,89,0,110,115
area15,89,0,140,147
