country,date,casesWeekly,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days
Chad,2020-03-23,2,0,0.0,0.0
Chad,2020-03-24,2,0,0.0,0.0
Chad,2020-03-25,2,0,0.0,0.0
Chad,2020-03-26,2,0,0.0,0.0
Chad,2020-03-27,2,0,0.0,0.0
Chad,2020-03-28,2,0,0.0,0.0
Chad,2020-03-29,2,0,0.0,0.0
Chad,2020-03-30,3,0,0.0,0.0
Chad,2020-03-31,3,0,0.0,0.0
Chad,2020-04-01,3,0,0.0,0.0
Chad,2020-04-02,3,0,0.0,0.0
Chad,2020-04-03,3,0,0.0,0.0
Chad,2020-04-04,3,0,0.0,0.0
Chad,2020-04-05,3,0,0.0,0.0
Chad,2020-04-06,4,0,0.0,0.0
Chad,2020-04-07,4,0,0.0,0.0
Chad,2020-04-08,4,0,0.0,0.0
Chad,2020-04-09,4,0,0.0,0.0
Chad,2020-04-10,4,0,0.0,0.0
Chad,2020-04-11,4,0,0.0,0.0
Chad,2020-04-12,4,0,0.0,0.0
Chad,2020-04-13,6,0,0.0,0.0
Chad,2020-04-14,6,0,0.0,0.0
Chad,2020-04-15,6,0,0.0,0.0
Chad,2020-04-16,6,0,0.0,0.0
Chad,2020-04-17,6,0,0.0,0.0
Chad,2020-04-18,6,0,0.0,0.0
Chad,2020-04-19,6,0,0.0,0.0
Chad,2020-04-20,18,2,0.2857142857142857,0.0
Chad,2020-04-21,18,2,0.5714285714285714,100.0
Chad,2020-04-22,18,2,0.8571428571428571,50.0
Chad,2020-04-23,18,2,1.1428571428571428,33.33333333333333
Chad,2020-04-24,18,2,1.4285714285714286,25.0
Chad,2020-04-25,18,2,1.7142857142857142,19.999999999999996
Chad,2020-04-26,18,2,2.0,16.666666666666675
Chad,2020-04-27,13,1,1.8571428571428572,-7.14285714285714
Chad,2020-04-28,13,1,1.7142857142857142,-7.692307692307699
Chad,2020-04-29,13,1,1.5714285714285714,-8.333333333333325
Chad,2020-04-30,13,1,1.4285714285714286,-9.090909090909083
Chad,2020-05-01,13,1,1.2857142857142858,-9.999999999999998
Chad,2020-05-02,13,1,1.1428571428571428,-11.111111111111127
Chad,2020-05-03,13,1,1.0,-12.5
Chad,2020-05-04,71,10,2.2857142857142856,128.57142857142856
Chad,2020-05-05,71,10,3.5714285714285716,56.25000000000002
Chad,2020-05-06,71,10,4.857142857142857,35.999999999999986
Chad,2020-05-07,71,10,6.142857142857143,26.470588235294134
Chad,2020-05-08,71,10,7.428571428571429,20.93023255813953
Chad,2020-05-09,71,10,8.714285714285714,17.307692307692292
Chad,2020-05-10,71,10,10.0,14.754098360655753
Chad,2020-05-11,205,29,12.714285714285714,27.142857142857135
Chad,2020-05-12,205,29,15.428571428571429,21.34831460674158
Chad,2020-05-13,205,29,18.142857142857142,17.59259259259258
Chad,2020-05-14,205,29,20.857142857142858,14.960629921259837
Chad,2020-05-15,205,29,23.571428571428573,13.013698630136993
Chad,2020-05-16,205,29,26.285714285714285,11.515151515151501
Chad,2020-05-17,205,29,29.0,10.326086956521753
Chad,2020-05-18,181,25,28.428571428571427,-1.9704433497537033
Chad,2020-05-19,181,25,27.857142857142858,-2.010050251256279
Chad,2020-05-20,181,25,27.285714285714285,-2.051282051282055
Chad,2020-05-21,181,25,26.714285714285715,-2.094240837696326
Chad,2020-05-22,181,25,26.142857142857142,-2.1390374331550888
Chad,2020-05-23,181,25,25.571428571428573,-2.1857923497267673
Chad,2020-05-24,181,25,25.0,-2.2346368715083886
Chad,2020-05-25,172,24,24.857142857142858,-0.5714285714285672
Chad,2020-05-26,172,24,24.714285714285715,-0.5747126436781547
Chad,2020-05-27,172,24,24.571428571428573,-0.578034682080919
Chad,2020-05-28,172,24,24.428571428571427,-0.5813953488372214
Chad,2020-05-29,172,24,24.285714285714285,-0.5847953216374213
Chad,2020-05-30,172,24,24.142857142857142,-0.588235294117645
Chad,2020-05-31,172,24,24.0,-0.591715976331364
Chad,2020-06-01,103,14,22.571428571428573,-5.952380952380942
Chad,2020-06-02,103,14,21.142857142857142,-6.329113924050644
Chad,2020-06-03,103,14,19.714285714285715,-6.756756756756754
Chad,2020-06-04,103,14,18.285714285714285,-7.246376811594213
Chad,2020-06-05,103,14,16.857142857142858,-7.812499999999989
Chad,2020-06-06,103,14,15.428571428571429,-8.47457627118644
Chad,2020-06-07,103,14,14.0,-9.259259259259256
Chad,2020-06-08,59,8,13.142857142857142,-6.1224489795918435
Chad,2020-06-09,59,8,12.285714285714286,-6.521739130434778
Chad,2020-06-10,59,8,11.428571428571429,-6.976744186046513
Chad,2020-06-11,59,8,10.571428571428571,-7.500000000000007
Chad,2020-06-12,59,8,9.714285714285714,-8.108108108108114
Chad,2020-06-13,59,8,8.857142857142858,-8.823529411764696
Chad,2020-06-14,59,8,8.0,-9.677419354838712
Chad,2020-06-15,13,1,7.0,-12.5
Chad,2020-06-16,13,1,6.0,-14.28571428571429
Chad,2020-06-17,13,1,5.0,-16.666666666666664
Chad,2020-06-18,13,1,4.0,-19.999999999999996
Chad,2020-06-19,13,1,3.0,-25.0
Chad,2020-06-20,13,1,2.0,-33.333333333333336
Chad,2020-06-21,13,1,1.0,-50.0
Chad,2020-06-22,8,1,1.0,0.0
Chad,2020-06-23,8,1,1.0,0.0
Chad,2020-06-24,8,1,1.0,0.0
Chad,2020-06-25,8,1,1.0,0.0
Chad,2020-06-26,8,1,1.0,0.0
Chad,2020-06-27,8,1,1.0,0.0
Chad,2020-06-28,8,1,1.0,0.0
Chad,2020-06-29,8,1,1.0,0.0
Chad,2020-06-30,8,1,1.0,0.0
Chad,2020-07-01,8,1,1.0,0.0
Chad,2020-07-02,8,1,1.0,0.0
Chad,2020-07-03,8,1,1.0,0.0
Chad,2020-07-04,8,1,1.0,0.0
Chad,2020-07-05,8,1,1.0,0.0
Chad,2020-07-06,6,0,0.8571428571428571,-14.28571428571429
Chad,2020-07-07,6,0,0.7142857142857143,-16.666666666666664
Chad,2020-07-08,6,0,0.5714285714285714,-20.000000000000007
Chad,2020-07-09,6,0,0.42857142857142855,-25.0
Chad,2020-07-10,6,0,0.2857142857142857,-33.333333333333336
Chad,2020-07-11,6,0,0.14285714285714285,-50.0
Chad,2020-07-12,6,0,0.0,-100.0
Chad,2020-07-13,8,1,0.14285714285714285,0.0
Chad,2020-07-14,8,1,0.2857142857142857,100.0
Chad,2020-07-15,8,1,0.42857142857142855,50.0
Chad,2020-07-16,8,1,0.5714285714285714,33.33333333333333
Chad,2020-07-17,8,1,0.7142857142857143,25.0
Chad,2020-07-18,8,1,0.8571428571428571,19.999999999999996
Chad,2020-07-19,8,1,1.0,16.666666666666675
Chad,2020-07-20,9,1,1.0,0.0
Chad,2020-07-21,9,1,1.0,0.0
Chad,2020-07-22,9,1,1.0,0.0
Chad,2020-07-23,9,1,1.0,0.0
