country,date,currentInfected,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days,rank
area0,2020-01-10,8,3,0.5714285714285714,300.0,1
area15,2020-01-10,7,4,0.5714285714285714,300.0,1
area10,2020-01-10,10,5,1.0,250.0,3
area8,2020-01-10,10,5,1.2857142857142858,200.00000000000006,4
area7,2020-01-10,8,5,0.5714285714285714,100.0,5
area2,2020-01-10,6,2,0.8571428571428571,50.0,6
area4,2020-01-10,6,2,0.7142857142857143,25.0,7
area5,2020-01-10,7,3,0.7142857142857143,25.0,7
area13,2020-01-10,3,2,0.2857142857142857,0.0,9
area11,2020-01-10,6,-5,0.8571428571428571,-14.28571428571429,10
area14,2020-01-11,11,7,1.0,600.0,1
area0,2020-01-11,13,5,1.7142857142857142,200.0,2
area13,2020-01-11,10,7,0.8571428571428571,200.0,2
area1,2020-01-11,9,6,1.1428571428571428,166.66666666666666,4
area15,2020-01-11,12,5,0.8571428571428571,50.0,5
area11,2020-01-11,8,2,1.1428571428571428,33.33333333333333,6
area10,2020-01-11,10,0,1.2857142857142858,28.57142857142858,7
area6,2020-01-11,4,0,0.42857142857142855,0.0,8
area5,2020-01-11,5,-2,0.7142857142857143,0.0,8
area4,2020-01-11,5,-1,0.5714285714285714,-20.000000000000007,10
area12,2020-01-12,9,6,1.0,600.0,1
area9,2020-01-12,11,9,0.8571428571428571,500.0,2
area8,2020-01-12,8,3,0.8571428571428571,500.0,2
area7,2020-01-12,11,5,1.2857142857142858,350.0000000000001,4
area6,2020-01-12,10,6,1.1428571428571428,166.66666666666666,5
area3,2020-01-12,12,5,1.4285714285714286,150.0,6
area4,2020-01-12,8,3,1.0,75.0,7
area15,2020-01-12,14,2,1.2857142857142858,50.00000000000002,8
area2,2020-01-12,6,1,0.5714285714285714,0.0,9
area10,2020-01-12,9,-1,1.2857142857142858,0.0,9
area5,2020-01-13,14,10,1.4285714285714286,900.0,1
area13,2020-01-13,13,5,1.1428571428571428,166.66666666666666,2
area14,2020-01-13,16,6,2.0,133.33333333333334,3
area4,2020-01-13,16,8,1.7142857142857142,71.42857142857142,4
area0,2020-01-13,17,5,1.7142857142857142,71.42857142857142,4
area9,2020-01-13,12,1,1.4285714285714286,66.66666666666667,6
area11,2020-01-13,16,7,1.5714285714285714,57.14285714285714,7
area10,2020-01-13,13,4,1.7142857142857142,33.33333333333333,8
area2,2020-01-13,6,0,0.7142857142857143,25.0,9
area1,2020-01-13,11,3,1.1428571428571428,14.28571428571428,10
area2,2020-01-14,16,10,2.0,179.99999999999997,1
area15,2020-01-14,30,18,3.4285714285714284,140.0,2
area8,2020-01-14,12,5,1.7142857142857142,140.0,2
area3,2020-01-14,13,-2,1.5714285714285714,37.5,4
area0,2020-01-14,21,4,2.2857142857142856,33.33333333333333,5
area4,2020-01-14,20,4,2.0,16.666666666666675,6
area13,2020-01-14,14,1,1.2857142857142858,12.500000000000021,7
area14,2020-01-14,16,0,2.142857142857143,7.14285714285714,8
area11,2020-01-14,16,0,1.5714285714285714,0.0,9
area12,2020-01-14,17,11,1.7142857142857142,0.0,9
area9,2020-01-15,15,8,1.7142857142857142,200.0,1
area1,2020-01-15,18,10,2.142857142857143,200.0,1
area10,2020-01-15,14,7,1.5714285714285714,175.0,3
area7,2020-01-15,16,5,1.4285714285714286,150.0,4
area5,2020-01-15,21,5,2.4285714285714284,112.5,5
area12,2020-01-15,22,5,2.857142857142857,66.66666666666667,6
area6,2020-01-15,11,1,1.4285714285714286,42.85714285714286,7
area3,2020-01-15,20,7,1.8571428571428572,18.181818181818187,8
area4,2020-01-15,20,0,2.2857142857142856,14.28571428571428,9
area13,2020-01-15,16,2,1.4285714285714286,11.111111111111116,10
area15,2020-01-16,35,17,4.571428571428571,166.66666666666666,1
area14,2020-01-16,26,13,2.142857142857143,114.28571428571428,2
area0,2020-01-16,34,11,4.142857142857143,107.14285714285717,3
area13,2020-01-16,19,3,2.5714285714285716,80.0,4
area2,2020-01-16,20,3,2.2857142857142856,45.45454545454546,5
area11,2020-01-16,26,9,2.142857142857143,36.36363636363635,6
area1,2020-01-16,26,8,2.857142857142857,33.33333333333335,7
area7,2020-01-16,16,0,1.8571428571428572,30.000000000000004,8
area3,2020-01-16,24,4,2.2857142857142856,23.076923076923062,9
area8,2020-01-16,20,4,2.142857142857143,15.384615384615374,10
area9,2020-01-17,22,14,2.7142857142857144,375.0000000000001,1
area6,2020-01-17,13,1,1.2857142857142858,200.00000000000006,2
area11,2020-01-17,37,11,4.428571428571429,106.66666666666669,3
area14,2020-01-17,29,3,3.5714285714285716,66.66666666666667,4
area8,2020-01-17,31,11,3.0,40.000000000000014,5
area5,2020-01-17,21,7,2.0,39.99999999999999,6
area12,2020-01-17,29,-4,3.4285714285714284,19.999999999999996,7
area0,2020-01-17,42,8,4.857142857142857,17.24137931034482,8
area13,2020-01-17,24,5,3.0,16.66666666666665,9
area15,2020-01-17,44,9,5.285714285714286,15.625,10
area7,2020-01-18,37,20,4.428571428571429,244.44444444444443,1
area6,2020-01-18,29,16,3.5714285714285716,177.77777777777777,2
area10,2020-01-18,23,8,1.8571428571428572,160.0,3
area3,2020-01-18,43,16,5.142857142857143,100.0,4
area4,2020-01-18,32,12,3.857142857142857,92.85714285714286,5
area5,2020-01-18,27,6,3.142857142857143,57.14285714285714,6
area12,2020-01-18,36,7,4.714285714285714,37.50000000000002,7
area1,2020-01-18,38,12,4.142857142857143,26.086956521739157,8
area9,2020-01-18,24,2,3.142857142857143,15.78947368421051,9
area2,2020-01-18,22,1,2.4285714285714284,13.33333333333333,10
area11,2020-01-19,38,14,4.142857142857143,81.25000000000003,1
area2,2020-01-19,36,14,4.285714285714286,76.47058823529413,2
area14,2020-01-19,40,12,4.285714285714286,76.47058823529413,2
area10,2020-01-19,29,6,2.857142857142857,53.846153846153854,4
area13,2020-01-19,28,4,2.857142857142857,42.85714285714286,5
area8,2020-01-19,30,9,3.142857142857143,37.5,6
area12,2020-01-19,51,15,6.0,27.27272727272727,7
